商户订单号,业务描述,收入金额（+元）,收入金额(元),收入金额,支出金额（-元）,支出金额(元),支出金额,发生时间,账务类型,发生金额,金额(元),金额
2705000052,订单结算收入,155.15,155.15,155.15,0.00,0.00,0.00,2026-04-02 10:28:00,订单结算,155.15,155.15,155.15
2705000052,平台技术服务费,0.00,0.00,0.00,0.94,0.94,0.94,2026-04-03 00:30:05,费用扣除,-0.94,0.94,0.94
2705000151,订单结算收入,35.22,35.22,35.22,0.00,0.00,0.00,2026-04-02 14:08:42,订单结算,35.22,35.22,35.22
2705000151,平台技术服务费,0.00,0.00,0.00,0.21,0.21,0.21,2026-04-03 10:09:15,费用扣除,-0.21,0.21,0.21
2705000340,订单结算收入,166.15,166.15,166.15,0.00,0.00,0.00,2026-04-02 13:56:33,订单结算,166.15,166.15,166.15
2705000340,平台技术服务费,0.00,0.00,0.00,1.00,1.00,1.00,2026-04-03 08:51:54,费用扣除,-1.00,1.00,1.00
2705000350,订单结算收入,262.89,262.89,262.89,0.00,0.00,0.00,2026-04-02 06:10:23,订单结算,262.89,262.89,262.89
2705000350,平台技术服务费,0.00,0.00,0.00,1.59,1.59,1.59,2026-04-03 12:53:15,费用扣除,-1.59,1.59,1.59
2705000225,订单结算收入,162.89,162.89,162.89,0.00,0.00,0.00,2026-04-02 22:16:47,订单结算,162.89,162.89,162.89
2705000225,平台技术服务费,0.00,0.00,0.00,0.98,0.98,0.98,2026-04-03 12:33:49,费用扣除,-0.98,0.98,0.98
2705000454,订单结算收入,143.62,143.62,143.62,0.00,0.00,0.00,2026-04-02 16:19:47,订单结算,143.62,143.62,143.62
2705000454,平台技术服务费,0.00,0.00,0.00,0.87,0.87,0.87,2026-04-03 17:45:10,费用扣除,-0.87,0.87,0.87
2705000146,订单结算收入,287.77,287.77,287.77,0.00,0.00,0.00,2026-04-02 23:09:51,订单结算,287.77,287.77,287.77
2705000146,平台技术服务费,0.00,0.00,0.00,1.74,1.74,1.74,2026-04-03 22:58:18,费用扣除,-1.74,1.74,1.74
2705000391,订单结算收入,48.48,48.48,48.48,0.00,0.00,0.00,2026-04-03 05:30:14,订单结算,48.48,48.48,48.48
2705000391,平台技术服务费,0.00,0.00,0.00,0.29,0.29,0.29,2026-04-04 04:31:15,费用扣除,-0.29,0.29,0.29
2705000274,订单结算收入,53.60,53.60,53.60,0.00,0.00,0.00,2026-04-03 02:00:11,订单结算,53.60,53.60,53.60
2705000274,平台技术服务费,0.00,0.00,0.00,0.32,0.32,0.32,2026-04-04 11:23:24,费用扣除,-0.32,0.32,0.32
2705000115,订单结算收入,92.99,92.99,92.99,0.00,0.00,0.00,2026-04-03 05:32:28,订单结算,92.99,92.99,92.99
2705000115,平台技术服务费,0.00,0.00,0.00,0.56,0.56,0.56,2026-04-04 23:50:29,费用扣除,-0.56,0.56,0.56
2705000254,订单结算收入,161.61,161.61,161.61,0.00,0.00,0.00,2026-04-03 12:59:15,订单结算,161.61,161.61,161.61
2705000254,平台技术服务费,0.00,0.00,0.00,0.98,0.98,0.98,2026-04-04 11:14:23,费用扣除,-0.98,0.98,0.98
2705000196,订单结算收入,64.89,64.89,64.89,0.00,0.00,0.00,2026-04-03 01:09:15,订单结算,64.89,64.89,64.89
2705000196,平台技术服务费,0.00,0.00,0.00,0.66,0.66,0.66,2026-04-04 07:55:52,费用扣除,-0.66,0.66,0.66
2705000132,订单结算收入,91.22,91.22,91.22,0.00,0.00,0.00,2026-04-03 00:22:11,订单结算,91.22,91.22,91.22
2705000132,平台技术服务费,0.00,0.00,0.00,0.55,0.55,0.55,2026-04-04 11:12:01,费用扣除,-0.55,0.55,0.55
2705000365,订单结算收入,414.97,414.97,414.97,0.00,0.00,0.00,2026-04-03 21:47:56,订单结算,414.97,414.97,414.97
2705000365,平台技术服务费,0.00,0.00,0.00,2.50,2.50,2.50,2026-04-04 05:22:49,费用扣除,-2.50,2.50,2.50
2705000439,订单结算收入,128.97,128.97,128.97,0.00,0.00,0.00,2026-04-03 16:24:37,订单结算,128.97,128.97,128.97
2705000439,平台技术服务费,0.00,0.00,0.00,0.78,0.78,0.78,2026-04-04 03:18:17,费用扣除,-0.78,0.78,0.78
2705000070,订单结算收入,168.04,168.04,168.04,0.00,0.00,0.00,2026-04-03 08:18:09,订单结算,168.04,168.04,168.04
2705000070,平台技术服务费,0.00,0.00,0.00,1.01,1.01,1.01,2026-04-04 19:39:22,费用扣除,-1.01,1.01,1.01
2705000513,订单结算收入,267.31,267.31,267.31,0.00,0.00,0.00,2026-04-04 03:10:48,订单结算,267.31,267.31,267.31
2705000513,平台技术服务费,0.00,0.00,0.00,1.61,1.61,1.61,2026-04-05 22:31:05,费用扣除,-1.61,1.61,1.61
2705000384,订单结算收入,107.64,107.64,107.64,0.00,0.00,0.00,2026-04-04 15:22:11,订单结算,107.64,107.64,107.64
2705000384,平台技术服务费,0.00,0.00,0.00,0.65,0.65,0.65,2026-04-05 07:12:00,费用扣除,-0.65,0.65,0.65
2705000040,订单结算收入,97.94,97.94,97.94,0.00,0.00,0.00,2026-04-04 15:45:24,订单结算,97.94,97.94,97.94
2705000040,平台技术服务费,0.00,0.00,0.00,0.59,0.59,0.59,2026-04-05 22:24:45,费用扣除,-0.59,0.59,0.59
2705000364,订单结算收入,81.78,81.78,81.78,0.00,0.00,0.00,2026-04-04 21:22:35,订单结算,81.78,81.78,81.78
2705000364,平台技术服务费,0.00,0.00,0.00,0.49,0.49,0.49,2026-04-05 20:30:57,费用扣除,-0.49,0.49,0.49
2705000481,订单结算收入,91.60,91.60,91.60,0.00,0.00,0.00,2026-04-04 11:40:33,订单结算,91.60,91.60,91.60
2705000481,平台技术服务费,0.00,0.00,0.00,0.55,0.55,0.55,2026-04-05 11:56:20,费用扣除,-0.55,0.55,0.55
2705000361,订单结算收入,240.35,240.35,240.35,0.00,0.00,0.00,2026-04-04 03:47:06,订单结算,240.35,240.35,240.35
2705000361,平台技术服务费,0.00,0.00,0.00,2.43,2.43,2.43,2026-04-05 00:45:06,费用扣除,-2.43,2.43,2.43
2705000339,订单结算收入,42.89,42.89,42.89,0.00,0.00,0.00,2026-04-04 19:24:30,订单结算,42.89,42.89,42.89
2705000339,平台技术服务费,0.00,0.00,0.00,0.26,0.26,0.26,2026-04-05 17:56:24,费用扣除,-0.26,0.26,0.26
2705000433,订单结算收入,45.28,45.28,45.28,0.00,0.00,0.00,2026-04-04 16:19:16,订单结算,45.28,45.28,45.28
2705000433,平台技术服务费,0.00,0.00,0.00,0.27,0.27,0.27,2026-04-05 09:22:03,费用扣除,-0.27,0.27,0.27
2705000307,订单结算收入,195.37,195.37,195.37,0.00,0.00,0.00,2026-04-04 13:26:22,订单结算,195.37,195.37,195.37
2705000307,平台技术服务费,0.00,0.00,0.00,1.18,1.18,1.18,2026-04-05 21:51:04,费用扣除,-1.18,1.18,1.18
2705000382,订单结算收入,106.11,106.11,106.11,0.00,0.00,0.00,2026-04-04 16:30:52,订单结算,106.11,106.11,106.11
2705000382,平台技术服务费,0.00,0.00,0.00,0.64,0.64,0.64,2026-04-05 01:38:02,费用扣除,-0.64,0.64,0.64
2705000004,订单结算收入,58.37,58.37,58.37,0.00,0.00,0.00,2026-04-04 19:47:34,订单结算,58.37,58.37,58.37
2705000004,平台技术服务费,0.00,0.00,0.00,0.35,0.35,0.35,2026-04-05 12:24:17,费用扣除,-0.35,0.35,0.35
2705000430,订单结算收入,62.34,62.34,62.34,0.00,0.00,0.00,2026-04-04 23:07:08,订单结算,62.34,62.34,62.34
2705000430,平台技术服务费,0.00,0.00,0.00,0.38,0.38,0.38,2026-04-05 09:51:33,费用扣除,-0.38,0.38,0.38
2705000144,订单结算收入,98.77,98.77,98.77,0.00,0.00,0.00,2026-04-04 00:26:48,订单结算,98.77,98.77,98.77
2705000144,平台技术服务费,0.00,0.00,0.00,0.60,0.60,0.60,2026-04-05 00:01:21,费用扣除,-0.60,0.60,0.60
2705000364,004延迟发货罚款,0.00,0.00,0.00,16.68,16.68,16.68,2026-04-04 18:32:07,罚款扣款,-16.68,16.68,16.68
2705000203,订单结算收入,219.87,219.87,219.87,0.00,0.00,0.00,2026-04-05 09:20:02,订单结算,219.87,219.87,219.87
2705000203,平台技术服务费,0.00,0.00,0.00,1.33,1.33,1.33,2026-04-06 00:41:42,费用扣除,-1.33,1.33,1.33
2705000029,订单结算收入,127.66,127.66,127.66,0.00,0.00,0.00,2026-04-05 21:17:56,订单结算,127.66,127.66,127.66
2705000029,平台技术服务费,0.00,0.00,0.00,0.77,0.77,0.77,2026-04-06 00:17:11,费用扣除,-0.77,0.77,0.77
2705000373,订单结算收入,142.12,142.12,142.12,0.00,0.00,0.00,2026-04-05 15:16:49,订单结算,142.12,142.12,142.12
2705000373,平台技术服务费,0.00,0.00,0.00,0.86,0.86,0.86,2026-04-06 09:18:40,费用扣除,-0.86,0.86,0.86
2705000518,订单结算收入,118.76,118.76,118.76,0.00,0.00,0.00,2026-04-05 08:08:23,订单结算,118.76,118.76,118.76
2705000518,平台技术服务费,0.00,0.00,0.00,0.72,0.72,0.72,2026-04-06 14:45:23,费用扣除,-0.72,0.72,0.72
2705000508,订单结算收入,66.87,66.87,66.87,0.00,0.00,0.00,2026-04-05 19:38:07,订单结算,66.87,66.87,66.87
2705000508,平台技术服务费,0.00,0.00,0.00,0.40,0.40,0.40,2026-04-06 16:36:26,费用扣除,-0.40,0.40,0.40
2705000338,订单结算收入,112.00,112.00,112.00,0.00,0.00,0.00,2026-04-05 21:18:56,订单结算,112.00,112.00,112.00
2705000338,平台技术服务费,0.00,0.00,0.00,0.68,0.68,0.68,2026-04-06 01:27:56,费用扣除,-0.68,0.68,0.68
2705000188,订单结算收入,87.80,87.80,87.80,0.00,0.00,0.00,2026-04-05 12:55:52,订单结算,87.80,87.80,87.80
2705000188,平台技术服务费,0.00,0.00,0.00,0.53,0.53,0.53,2026-04-06 23:36:04,费用扣除,-0.53,0.53,0.53
2705000188,0030002百亿补贴技术服务费,0.00,0.00,0.00,11.14,11.14,11.14,2026-04-05 09:48:40,技术服务费,-11.14,11.14,11.14
2705000394,订单结算收入,409.07,409.07,409.07,0.00,0.00,0.00,2026-04-06 09:02:29,订单结算,409.07,409.07,409.07
2705000394,平台技术服务费,0.00,0.00,0.00,2.47,2.47,2.47,2026-04-07 09:29:19,费用扣除,-2.47,2.47,2.47
2705000107,订单结算收入,14.93,14.93,14.93,0.00,0.00,0.00,2026-04-06 01:19:44,订单结算,14.93,14.93,14.93
2705000107,平台技术服务费,0.00,0.00,0.00,0.15,0.15,0.15,2026-04-07 01:20:34,费用扣除,-0.15,0.15,0.15
2705000499,订单结算收入,114.44,114.44,114.44,0.00,0.00,0.00,2026-04-06 11:08:00,订单结算,114.44,114.44,114.44
2705000499,平台技术服务费,0.00,0.00,0.00,0.69,0.69,0.69,2026-04-07 15:51:17,费用扣除,-0.69,0.69,0.69
2705000226,订单结算收入,255.29,255.29,255.29,0.00,0.00,0.00,2026-04-06 09:38:07,订单结算,255.29,255.29,255.29
2705000226,平台技术服务费,0.00,0.00,0.00,1.54,1.54,1.54,2026-04-07 19:55:19,费用扣除,-1.54,1.54,1.54
2705000202,订单结算收入,335.79,335.79,335.79,0.00,0.00,0.00,2026-04-06 16:06:19,订单结算,335.79,335.79,335.79
2705000202,平台技术服务费,0.00,0.00,0.00,2.03,2.03,2.03,2026-04-07 14:50:04,费用扣除,-2.03,2.03,2.03
2705000502,订单结算收入,106.38,106.38,106.38,0.00,0.00,0.00,2026-04-06 14:56:51,订单结算,106.38,106.38,106.38
2705000502,平台技术服务费,0.00,0.00,0.00,0.64,0.64,0.64,2026-04-07 12:56:44,费用扣除,-0.64,0.64,0.64
2705000030,订单结算收入,203.62,203.62,203.62,0.00,0.00,0.00,2026-04-06 04:47:12,订单结算,203.62,203.62,203.62
2705000030,平台技术服务费,0.00,0.00,0.00,1.23,1.23,1.23,2026-04-07 12:57:36,费用扣除,-1.23,1.23,1.23
2705000492,订单结算收入,160.49,160.49,160.49,0.00,0.00,0.00,2026-04-06 07:30:50,订单结算,160.49,160.49,160.49
2705000492,平台技术服务费,0.00,0.00,0.00,0.97,0.97,0.97,2026-04-07 07:05:32,费用扣除,-0.97,0.97,0.97
2705000180,订单结算收入,114.84,114.84,114.84,0.00,0.00,0.00,2026-04-06 18:03:30,订单结算,114.84,114.84,114.84
2705000180,平台技术服务费,0.00,0.00,0.00,0.69,0.69,0.69,2026-04-07 21:45:54,费用扣除,-0.69,0.69,0.69
2705000226,004延迟发货罚款,0.00,0.00,0.00,18.19,18.19,18.19,2026-04-06 16:04:01,罚款扣款,-18.19,18.19,18.19
2705000343,订单结算收入,42.34,42.34,42.34,0.00,0.00,0.00,2026-04-07 18:26:16,订单结算,42.34,42.34,42.34
2705000343,平台技术服务费,0.00,0.00,0.00,0.43,0.43,0.43,2026-04-08 09:02:38,费用扣除,-0.43,0.43,0.43
2705000410,订单结算收入,101.95,101.95,101.95,0.00,0.00,0.00,2026-04-07 00:54:17,订单结算,101.95,101.95,101.95
2705000410,平台技术服务费,0.00,0.00,0.00,0.62,0.62,0.62,2026-04-08 12:04:14,费用扣除,-0.62,0.62,0.62
2705000023,订单结算收入,218.27,218.27,218.27,0.00,0.00,0.00,2026-04-07 12:00:00,订单结算,218.27,218.27,218.27
2705000023,平台技术服务费,0.00,0.00,0.00,1.32,1.32,1.32,2026-04-08 15:32:42,费用扣除,-1.32,1.32,1.32
2705000100,订单结算收入,141.22,141.22,141.22,0.00,0.00,0.00,2026-04-07 18:45:16,订单结算,141.22,141.22,141.22
2705000100,平台技术服务费,0.00,0.00,0.00,0.85,0.85,0.85,2026-04-08 22:27:05,费用扣除,-0.85,0.85,0.85
2705000204,订单结算收入,55.57,55.57,55.57,0.00,0.00,0.00,2026-04-07 00:33:01,订单结算,55.57,55.57,55.57
2705000204,平台技术服务费,0.00,0.00,0.00,0.34,0.34,0.34,2026-04-08 14:58:58,费用扣除,-0.34,0.34,0.34
2705000182,订单结算收入,292.24,292.24,292.24,0.00,0.00,0.00,2026-04-07 16:16:37,订单结算,292.24,292.24,292.24
2705000182,平台技术服务费,0.00,0.00,0.00,1.76,1.76,1.76,2026-04-08 01:10:02,费用扣除,-1.76,1.76,1.76
2705000251,订单结算收入,144.15,144.15,144.15,0.00,0.00,0.00,2026-04-07 09:52:29,订单结算,144.15,144.15,144.15
2705000251,平台技术服务费,0.00,0.00,0.00,0.87,0.87,0.87,2026-04-08 10:24:40,费用扣除,-0.87,0.87,0.87
2705000033,订单结算收入,95.59,95.59,95.59,0.00,0.00,0.00,2026-04-07 11:07:50,订单结算,95.59,95.59,95.59
2705000033,平台技术服务费,0.00,0.00,0.00,0.58,0.58,0.58,2026-04-08 15:41:33,费用扣除,-0.58,0.58,0.58
2705000505,订单结算收入,159.04,159.04,159.04,0.00,0.00,0.00,2026-04-07 03:04:42,订单结算,159.04,159.04,159.04
2705000505,平台技术服务费,0.00,0.00,0.00,0.96,0.96,0.96,2026-04-08 10:23:26,费用扣除,-0.96,0.96,0.96
2705000410,006推广营销费,0.00,0.00,0.00,32.85,32.85,32.85,2026-04-07 19:39:33,营销费用,-32.85,32.85,32.85
2705000012,订单结算收入,372.77,372.77,372.77,0.00,0.00,0.00,2026-04-08 09:24:32,订单结算,372.77,372.77,372.77
2705000012,平台技术服务费,0.00,0.00,0.00,2.25,2.25,2.25,2026-04-09 15:43:04,费用扣除,-2.25,2.25,2.25
2705000440,订单结算收入,84.42,84.42,84.42,0.00,0.00,0.00,2026-04-08 03:23:33,订单结算,84.42,84.42,84.42
2705000440,平台技术服务费,0.00,0.00,0.00,0.51,0.51,0.51,2026-04-09 02:19:15,费用扣除,-0.51,0.51,0.51
2705000066,订单结算收入,128.67,128.67,128.67,0.00,0.00,0.00,2026-04-08 08:38:22,订单结算,128.67,128.67,128.67
2705000066,平台技术服务费,0.00,0.00,0.00,0.78,0.78,0.78,2026-04-09 03:23:00,费用扣除,-0.78,0.78,0.78
2705000337,订单结算收入,234.99,234.99,234.99,0.00,0.00,0.00,2026-04-08 14:46:29,订单结算,234.99,234.99,234.99
2705000337,平台技术服务费,0.00,0.00,0.00,1.42,1.42,1.42,2026-04-09 14:34:41,费用扣除,-1.42,1.42,1.42
2705000220,订单结算收入,57.91,57.91,57.91,0.00,0.00,0.00,2026-04-08 05:29:10,订单结算,57.91,57.91,57.91
2705000220,平台技术服务费,0.00,0.00,0.00,0.35,0.35,0.35,2026-04-09 17:54:40,费用扣除,-0.35,0.35,0.35
2705000460,订单结算收入,55.01,55.01,55.01,0.00,0.00,0.00,2026-04-08 17:26:30,订单结算,55.01,55.01,55.01
2705000460,平台技术服务费,0.00,0.00,0.00,0.33,0.33,0.33,2026-04-09 02:02:49,费用扣除,-0.33,0.33,0.33
2705000378,订单结算收入,286.14,286.14,286.14,0.00,0.00,0.00,2026-04-08 19:22:48,订单结算,286.14,286.14,286.14
2705000378,平台技术服务费,0.00,0.00,0.00,2.89,2.89,2.89,2026-04-09 10:22:16,费用扣除,-2.89,2.89,2.89
2705000460,004延迟发货罚款,0.00,0.00,0.00,43.31,43.31,43.31,2026-04-08 14:19:00,罚款扣款,-43.31,43.31,43.31
2705000071,订单结算收入,71.79,71.79,71.79,0.00,0.00,0.00,2026-04-09 02:57:13,订单结算,71.79,71.79,71.79
2705000071,平台技术服务费,0.00,0.00,0.00,0.43,0.43,0.43,2026-04-10 03:47:18,费用扣除,-0.43,0.43,0.43
2705000458,订单结算收入,200.16,200.16,200.16,0.00,0.00,0.00,2026-04-09 18:16:56,订单结算,200.16,200.16,200.16
2705000458,平台技术服务费,0.00,0.00,0.00,2.02,2.02,2.02,2026-04-10 21:47:45,费用扣除,-2.02,2.02,2.02
2705000345,订单结算收入,27.28,27.28,27.28,0.00,0.00,0.00,2026-04-09 20:38:42,订单结算,27.28,27.28,27.28
2705000345,平台技术服务费,0.00,0.00,0.00,0.16,0.16,0.16,2026-04-10 03:44:47,费用扣除,-0.16,0.16,0.16
2705000019,订单结算收入,37.49,37.49,37.49,0.00,0.00,0.00,2026-04-09 14:50:09,订单结算,37.49,37.49,37.49
2705000019,平台技术服务费,0.00,0.00,0.00,0.23,0.23,0.23,2026-04-10 02:07:40,费用扣除,-0.23,0.23,0.23
2705000000,订单结算收入,90.70,90.70,90.70,0.00,0.00,0.00,2026-04-09 08:59:00,订单结算,90.70,90.70,90.70
2705000000,平台技术服务费,0.00,0.00,0.00,0.92,0.92,0.92,2026-04-10 05:38:55,费用扣除,-0.92,0.92,0.92
2705000519,订单结算收入,60.67,60.67,60.67,0.00,0.00,0.00,2026-04-09 08:59:22,订单结算,60.67,60.67,60.67
2705000519,平台技术服务费,0.00,0.00,0.00,0.37,0.37,0.37,2026-04-10 19:04:57,费用扣除,-0.37,0.37,0.37
2705000437,订单结算收入,49.84,49.84,49.84,0.00,0.00,0.00,2026-04-10 09:23:59,订单结算,49.84,49.84,49.84
2705000437,平台技术服务费,0.00,0.00,0.00,0.50,0.50,0.50,2026-04-11 04:42:31,费用扣除,-0.50,0.50,0.50
2705000214,订单结算收入,170.46,170.46,170.46,0.00,0.00,0.00,2026-04-10 12:28:19,订单结算,170.46,170.46,170.46
2705000214,平台技术服务费,0.00,0.00,0.00,1.03,1.03,1.03,2026-04-11 10:00:58,费用扣除,-1.03,1.03,1.03
2705000094,订单结算收入,118.97,118.97,118.97,0.00,0.00,0.00,2026-04-10 07:43:05,订单结算,118.97,118.97,118.97
2705000094,平台技术服务费,0.00,0.00,0.00,0.72,0.72,0.72,2026-04-11 20:16:37,费用扣除,-0.72,0.72,0.72
2705000006,订单结算收入,107.57,107.57,107.57,0.00,0.00,0.00,2026-04-10 18:51:35,订单结算,107.57,107.57,107.57
2705000006,平台技术服务费,0.00,0.00,0.00,0.65,0.65,0.65,2026-04-11 14:59:04,费用扣除,-0.65,0.65,0.65
2705000163,订单结算收入,110.53,110.53,110.53,0.00,0.00,0.00,2026-04-10 01:49:10,订单结算,110.53,110.53,110.53
2705000163,平台技术服务费,0.00,0.00,0.00,0.67,0.67,0.67,2026-04-11 09:39:27,费用扣除,-0.67,0.67,0.67
2705000304,订单结算收入,153.99,153.99,153.99,0.00,0.00,0.00,2026-04-10 04:12:17,订单结算,153.99,153.99,153.99
2705000304,平台技术服务费,0.00,0.00,0.00,0.93,0.93,0.93,2026-04-11 06:46:22,费用扣除,-0.93,0.93,0.93
2705000041,订单结算收入,43.93,43.93,43.93,0.00,0.00,0.00,2026-04-10 22:26:23,订单结算,43.93,43.93,43.93
2705000041,平台技术服务费,0.00,0.00,0.00,0.27,0.27,0.27,2026-04-11 10:18:30,费用扣除,-0.27,0.27,0.27
2705000367,订单结算收入,198.75,198.75,198.75,0.00,0.00,0.00,2026-04-10 03:22:47,订单结算,198.75,198.75,198.75
2705000367,平台技术服务费,0.00,0.00,0.00,1.20,1.20,1.20,2026-04-11 06:54:30,费用扣除,-1.20,1.20,1.20
2705000252,订单结算收入,93.83,93.83,93.83,0.00,0.00,0.00,2026-04-10 07:32:25,订单结算,93.83,93.83,93.83
2705000252,平台技术服务费,0.00,0.00,0.00,0.57,0.57,0.57,2026-04-11 17:56:19,费用扣除,-0.57,0.57,0.57
2705000006,004延迟发货罚款,0.00,0.00,0.00,39.51,39.51,39.51,2026-04-10 16:00:18,罚款扣款,-39.51,39.51,39.51
2705000325,订单结算收入,51.37,51.37,51.37,0.00,0.00,0.00,2026-04-11 09:27:26,订单结算,51.37,51.37,51.37
2705000325,平台技术服务费,0.00,0.00,0.00,0.31,0.31,0.31,2026-04-12 17:55:49,费用扣除,-0.31,0.31,0.31
2705000346,订单结算收入,47.36,47.36,47.36,0.00,0.00,0.00,2026-04-11 18:05:13,订单结算,47.36,47.36,47.36
2705000346,平台技术服务费,0.00,0.00,0.00,0.29,0.29,0.29,2026-04-12 19:04:43,费用扣除,-0.29,0.29,0.29
2705000239,订单结算收入,107.60,107.60,107.60,0.00,0.00,0.00,2026-04-11 06:32:19,订单结算,107.60,107.60,107.60
2705000239,平台技术服务费,0.00,0.00,0.00,0.65,0.65,0.65,2026-04-12 06:28:36,费用扣除,-0.65,0.65,0.65
2705000471,订单结算收入,37.71,37.71,37.71,0.00,0.00,0.00,2026-04-11 12:21:46,订单结算,37.71,37.71,37.71
2705000471,平台技术服务费,0.00,0.00,0.00,0.38,0.38,0.38,2026-04-12 00:18:23,费用扣除,-0.38,0.38,0.38
2705000436,订单结算收入,41.57,41.57,41.57,0.00,0.00,0.00,2026-04-11 19:10:31,订单结算,41.57,41.57,41.57
2705000436,平台技术服务费,0.00,0.00,0.00,0.25,0.25,0.25,2026-04-12 04:55:00,费用扣除,-0.25,0.25,0.25
2705000270,订单结算收入,324.97,324.97,324.97,0.00,0.00,0.00,2026-04-11 23:49:03,订单结算,324.97,324.97,324.97
2705000270,平台技术服务费,0.00,0.00,0.00,1.96,1.96,1.96,2026-04-12 01:08:10,费用扣除,-1.96,1.96,1.96
2705000211,订单结算收入,16.00,16.00,16.00,0.00,0.00,0.00,2026-04-11 09:46:11,订单结算,16.00,16.00,16.00
2705000211,平台技术服务费,0.00,0.00,0.00,0.10,0.10,0.10,2026-04-12 03:26:51,费用扣除,-0.10,0.10,0.10
2705000135,订单结算收入,47.46,47.46,47.46,0.00,0.00,0.00,2026-04-11 08:33:29,订单结算,47.46,47.46,47.46
2705000135,平台技术服务费,0.00,0.00,0.00,0.29,0.29,0.29,2026-04-12 02:44:24,费用扣除,-0.29,0.29,0.29
2705000442,订单结算收入,73.34,73.34,73.34,0.00,0.00,0.00,2026-04-11 19:48:55,订单结算,73.34,73.34,73.34
2705000442,平台技术服务费,0.00,0.00,0.00,0.44,0.44,0.44,2026-04-12 00:51:38,费用扣除,-0.44,0.44,0.44
2705000436,004延迟发货罚款,0.00,0.00,0.00,46.93,46.93,46.93,2026-04-11 09:24:08,罚款扣款,-46.93,46.93,46.93
2705000516,订单结算收入,71.22,71.22,71.22,0.00,0.00,0.00,2026-04-12 07:31:09,订单结算,71.22,71.22,71.22
2705000516,平台技术服务费,0.00,0.00,0.00,0.43,0.43,0.43,2026-04-13 12:05:08,费用扣除,-0.43,0.43,0.43
