订单号,订单状态,支付时间,发货时间,确认收货时间,订单成交时间,承诺发货时间,商品名称,商品ID,商家编码-商品维度,商家编码-规格维度,商品规格,规格id,规格名称,样式ID,商品一级类目,商品二级类目,商品三级类目,商品四级类目,商品数量(件),商品单价(元),商品总价(元),用户实付金额(元),商家实收金额(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),拼多多优惠券(元),平台技术服务费(元),上门安装费(元),送货入户费(元),送货入户并安装费(元),退款金额(元),退款原因,退款类型,售后状态,省,市,订单来源,是否直播间成交,是否直播间引导成交,是否门店自提,门店名称,支付方式,是否分期,分期期数,手续费承担方,是否预售,是否顺丰加价,是否抽奖或0元试用,是否社区团购,是否无痕发货,是否节能补贴,快递公司,快递单号,配送状态,集运类型
2705000467,已取消,2026-04-02 10:41:07,,,2026-04-02 02:55:59,2026-04-04,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,2,59.00,118.00,93.18,92.62,0.00,7.57,6.62,4.73,5.90,0.56,0.00,0.00,0.00,0.00,,,,安徽省,合肥,APP-iOS,否,否,否,,多多支付,否,,,否,否,否,否,否,否,韵达快递,YT50526383850,,
2705000052,待发货,2026-04-02 13:53:23,2026-04-04 03:53:43,2026-04-07,2026-04-02 18:57:57,2026-04-04,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,1,189.00,189.00,156.09,155.15,0.00,13.16,11.52,8.23,0.00,0.94,0.00,0.00,0.00,0.00,,,,安徽省,合肥,网页,否,否,否,,花呗分期,否,,买家,否,否,否,否,否,否,申通快递,YT34896087807,已签收,
2705000151,已退款,2026-04-02 14:21:05,2026-04-04 09:36:08,2026-04-05,2026-04-02 16:44:38,2026-04-04,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,1,45.00,45.00,35.43,35.22,0.00,2.93,2.56,1.83,2.25,0.21,79.08,0.00,0.00,16.54,七天无理由退货,退货退款,退款成功,四川省,成都,小程序,否,否,否,,多多支付,否,,,否,否,否,否,否,否,中通快递,YT76143024770,已签收,
2705000340,已签收,2026-04-02 16:36:08,2026-04-03 04:27:46,2026-04-07,2026-04-02 22:15:21,2026-04-04,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,3,59.00,177.00,167.15,166.15,0.00,0.40,0.35,0.25,8.85,1.00,0.00,0.00,0.00,0.00,,,,云南省,昆明,H5,是,否,否,,微信支付,否,,买家,否,否,否,否,否,否,韵达快递,YT48904063500,派送中,
2705000350,已完成,2026-04-02 18:29:10,2026-04-04 16:50:49,2026-04-05,2026-04-02 03:03:03,2026-04-04,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,3,109.00,327.00,264.48,262.89,0.00,25.01,21.88,15.63,0.00,1.59,0.00,0.00,0.00,0.00,,,,河北省,石家庄,小程序,否,否,否,,支付宝,否,3,,否,否,否,否,否,否,极兔速递,YT52015933024,运输中,
2705000225,待发货,2026-04-02 19:11:15,2026-04-03 09:35:03,2026-04-06,2026-04-02 20:14:24,2026-04-04,夏季冰丝凉席三件套,PD00001,SP00001,SKU003,1.5m床-蓝色,SKU003,1.5m床-蓝色,ST003,家居生活,床上用品,凉席,冰丝凉席,2,89.00,178.00,163.87,162.89,0.00,5.65,4.95,3.53,0.00,0.98,61.10,0.00,0.00,0.00,,,,安徽省,合肥,网页,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,极兔速递,YT55020725066,运输中,
2705000454,已取消,2026-04-02 19:18:15,,,2026-04-02 18:11:44,2026-04-04,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,1,189.00,189.00,144.49,143.62,0.00,17.80,15.58,11.13,0.00,0.87,0.00,0.00,0.00,0.00,,,,江西省,南昌,APP-iOS,否,否,否,,微信支付,否,,,否,否,否,否,否,否,中通快递,YT86582863118,,
2705000146,已退款,2026-04-02 23:07:38,2026-04-04 03:37:53,2026-04-08,2026-04-02 12:30:03,2026-04-04,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,2,189.00,378.00,289.51,287.77,0.00,35.40,30.97,22.12,0.00,1.74,0.00,0.00,0.00,172.99,发错货/漏发,退货退款,退款成功,福建省,厦门,小程序,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT55895500252,派送中,
2705000391,已签收,2026-04-03 01:42:48,2026-04-05 23:10:44,2026-04-10,2026-04-03 08:38:16,2026-04-05,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,1,59.00,59.00,48.77,48.48,0.00,4.09,3.58,2.56,0.00,0.29,0.00,0.00,0.00,0.00,,,,四川省,成都,小程序,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,中通快递,YT64516339674,运输中,
2705000274,已退款,2026-04-03 02:37:49,2026-04-06 12:24:42,2026-04-07,2026-04-03 10:03:33,2026-04-05,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,53.92,53.60,0.00,6.03,5.28,3.77,0.00,0.32,0.00,0.00,0.00,26.47,商品与描述不符,退货退款,退货退款,四川省,成都,APP-iOS,否,否,否,,花呗分期,否,,买家,否,否,否,否,否,否,中通快递,YT77694912433,已签收,
2705000115,已取消,2026-04-03 08:24:24,,,2026-04-03 05:28:50,2026-04-05,男士运动休闲鞋透气款,PD00005,SP00005,SKU010,39码-黑色,SKU010,39码-黑色,ST010,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,93.55,92.99,0.00,10.18,8.91,6.36,0.00,0.56,0.00,0.00,0.00,0.00,,,,湖南省,长沙,网页,否,否,否,,支付宝,否,,,否,否,否,否,否,否,韵达快递,YT55394018192,,
2705000254,已取消,2026-04-03 14:17:17,,,2026-04-03 09:19:09,2026-04-05,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,2,99.00,198.00,162.59,161.61,0.00,10.20,8.93,6.38,9.90,0.98,0.00,0.00,0.00,0.00,,,,江苏省,南京,小程序,否,否,否,,微信支付,否,,,否,否,否,否,否,否,邮政快递,YT24809754423,,
2705000196,已取消,2026-04-03 14:22:25,,,2026-04-03 03:21:48,2026-04-05,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,65.55,64.89,0.00,1.38,1.21,0.86,0.00,0.66,0.00,0.00,0.00,0.00,,,,天津市,天津,网页,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT68454077533,,
2705000132,已取消,2026-04-03 15:07:19,,,2026-04-03 07:03:35,2026-04-05,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,2,59.00,118.00,91.77,91.22,0.00,10.49,9.18,6.56,0.00,0.55,0.00,0.00,0.00,0.00,,,,江西省,南昌,网页,否,否,否,,微信支付,否,3,,否,否,否,否,否,否,邮政快递,YT13832630902,,
2705000365,已签收,2026-04-03 19:37:26,2026-04-03 22:53:51,2026-04-05,2026-04-03 02:43:18,2026-04-05,夏季冰丝凉席三件套,PD00001,SP00001,SKU001,1.5m床-灰色,SKU001,1.5m床-灰色,ST001,家居生活,床上用品,凉席,冰丝凉席,5,89.00,445.00,417.47,414.97,0.00,2.11,1.85,1.32,22.25,2.50,0.00,0.00,0.00,0.00,,,,辽宁省,沈阳,小程序,否,否,否,,支付宝,否,,商家,否,否,否,否,否,否,韵达快递,YT29261043042,运输中,
2705000439,已取消,2026-04-03 23:44:53,,,2026-04-03 00:29:28,2026-04-05,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,5,29.90,149.50,129.75,128.97,0.00,4.91,4.29,3.07,7.48,0.78,0.00,0.00,0.00,0.00,,,,福建省,厦门,小程序,否,否,否,,微信支付,否,6,,否,否,否,否,否,否,中通快递,YT49290538367,,
2705000070,已付款,2026-04-03 23:55:45,2026-04-05 10:58:20,2026-04-08,2026-04-03 04:16:31,2026-04-05,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,3,69.00,207.00,169.05,168.04,0.00,15.18,13.28,9.49,0.00,1.01,0.00,0.00,0.00,0.00,,,,湖北省,武汉,APP-iOS,否,否,否,,支付宝,否,3,,否,否,否,否,否,否,顺丰速运,YT55376595837,运输中,
2705000513,已付款,2026-04-04 03:47:18,2026-04-07 05:56:40,2026-04-12,2026-04-04 21:38:48,2026-04-06,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,3,99.00,297.00,268.92,267.31,0.00,11.23,9.83,7.02,0.00,1.61,0.00,0.00,0.00,0.00,,,,河南省,郑州,小程序,否,否,否,,多多支付,否,,,否,否,否,否,否,否,圆通速递,YT33963239866,运输中,
2705000384,待发货,2026-04-04 04:32:45,2026-04-05 03:20:26,2026-04-08,2026-04-04 03:15:23,2026-04-06,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,1,109.00,109.00,108.29,107.64,0.00,0.28,0.25,0.18,0.00,0.65,0.00,0.00,0.00,0.00,,,,江苏省,南京,APP-iOS,否,否,否,,花呗分期,否,,买家,否,否,否,否,否,否,韵达快递,YT37707044652,运输中,
2705000040,已签收,2026-04-04 08:14:41,2026-04-06 06:12:51,2026-04-12,2026-04-04 14:55:48,2026-04-06,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,1,109.00,109.00,98.53,97.94,0.00,4.19,3.66,2.62,0.00,0.59,0.00,0.00,0.00,0.00,,,,辽宁省,沈阳,小程序,否,否,否,,多多支付,否,,,否,否,否,否,否,否,韵达快递,YT21543012385,运输中,
2705000364,已发货,2026-04-04 08:48:38,2026-04-04 20:04:09,2026-04-05,2026-04-04 15:36:27,2026-04-06,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,3,29.90,89.70,82.27,81.78,0.00,2.97,2.60,1.86,0.00,0.49,0.00,0.00,0.00,0.00,,,换货,福建省,厦门,H5,否,否,否,,支付宝,否,12,,是,否,否,否,否,否,中通快递,YT94512833274,运输中,
2705000481,待发货,2026-04-04 10:30:23,2026-04-04 22:15:42,2026-04-05,2026-04-04 22:26:26,2026-04-06,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,1,99.00,99.00,92.15,91.60,0.00,2.74,2.40,1.71,0.00,0.55,0.00,0.00,0.00,0.00,,,,浙江省,杭州,小程序,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT66014708195,运输中,
2705000361,已取消,2026-04-04 11:56:53,,,2026-04-04 12:10:10,2026-04-06,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,5,69.00,345.00,242.78,240.35,0.00,33.99,29.74,21.24,17.25,2.43,0.00,0.00,0.00,0.00,,,,浙江省,杭州,网页,否,否,否,,花呗分期,否,,,否,否,是,否,否,否,韵达快递,YT46944788358,,
2705000339,已签收,2026-04-04 12:29:34,2026-04-06 10:05:28,2026-04-11,2026-04-04 00:36:42,2026-04-06,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,1,45.00,45.00,43.15,42.89,0.00,0.74,0.65,0.46,0.00,0.26,0.00,0.00,0.00,0.00,,,,重庆市,重庆,APP-iOS,否,否,否,,支付宝,否,,,否,否,否,否,否,否,中通快递,YT69769810731,运输中,
2705000433,已签收,2026-04-04 15:31:03,2026-04-07 12:13:33,2026-04-09,2026-04-04 08:11:27,2026-04-06,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,1,59.00,59.00,45.55,45.28,0.00,5.38,4.71,3.36,0.00,0.27,0.00,0.00,0.00,0.00,,,,山东省,青岛,APP-Android,否,否,否,,支付宝,否,6,,否,否,否,否,否,否,顺丰速运,YT53270220150,运输中,
2705000307,待发货,2026-04-04 18:41:38,2026-04-06 18:15:43,2026-04-07,2026-04-04 14:21:55,2026-04-06,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,3,69.00,207.00,196.55,195.37,0.00,4.18,3.66,2.61,0.00,1.18,0.00,0.00,0.00,0.00,,,,江西省,南昌,网页,否,否,否,,支付宝,否,,,否,否,否,否,否,否,极兔速递,YT99763143387,运输中,
2705000382,已签收,2026-04-04 22:16:15,2026-04-06 05:36:00,2026-04-11,2026-04-04 12:08:28,2026-04-06,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,1,109.00,109.00,106.75,106.11,0.00,0.90,0.79,0.56,0.00,0.64,0.00,0.00,0.00,0.00,,,,云南省,昆明,H5,否,否,否,,支付宝,否,12,商家,是,否,否,否,否,否,圆通速递,YT51148315380,派送中,
2705000004,已发货,2026-04-04 23:37:16,2026-04-05 08:15:23,2026-04-09,2026-04-04 02:33:48,2026-04-06,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,1,69.00,69.00,58.72,58.37,0.00,4.11,3.60,2.57,0.00,0.35,0.00,0.00,0.00,0.00,,,,辽宁省,沈阳,网页,是,否,否,,微信支付,否,6,,否,否,否,否,否,否,中通快递,YT29282589704,已签收,
2705000430,已签收,2026-04-04 23:47:51,2026-04-07 08:08:00,2026-04-11,2026-04-04 09:02:52,2026-04-06,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,62.72,62.34,0.00,1.13,0.99,0.71,3.45,0.38,0.00,0.00,0.00,0.00,,,,重庆市,重庆,H5,是,否,否,,支付宝,否,,,否,否,否,否,是,否,申通快递,YT17572659265,已签收,
2705000144,已发货,2026-04-04 23:58:21,2026-04-07 18:27:18,2026-04-13,2026-04-04 17:22:00,2026-04-06,男士运动休闲鞋透气款,PD00005,SP00005,SKU012,41码-白色,SKU012,41码-白色,ST012,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,99.37,98.77,0.00,5.47,4.79,3.42,5.95,0.60,0.00,0.00,0.00,0.00,,,,湖北省,武汉,APP-Android,否,否,否,,多多支付,否,,买家,否,否,否,否,否,否,圆通速递,YT78177817966,运输中,
2705000203,已完成,2026-04-05 01:00:21,2026-04-06 07:02:22,2026-04-07,2026-04-05 04:21:16,2026-04-07,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,5,45.00,225.00,221.20,219.87,0.00,1.52,1.33,0.95,0.00,1.33,0.00,0.00,0.00,191.71,商品与描述不符,退货退款,退款成功,上海市,上海,网页,否,否,否,,微信支付,否,,,否,否,否,否,否,否,顺丰速运,YT98889344783,已签收,
2705000029,待发货,2026-04-05 01:38:04,2026-04-07 07:06:20,2026-04-08,2026-04-05 03:53:13,2026-04-07,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,2,69.00,138.00,128.43,127.66,0.00,3.83,3.35,2.39,0.00,0.77,0.00,0.00,0.00,0.00,,,补发,辽宁省,沈阳,网页,否,否,否,,支付宝,否,,商家,否,否,否,否,否,否,申通快递,YT43626219062,派送中,
2705000373,待发货,2026-04-05 02:21:55,2026-04-07 16:07:39,2026-04-10,2026-04-05 14:26:28,2026-04-07,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,1,189.00,189.00,142.98,142.12,0.00,18.41,16.11,11.50,0.00,0.86,0.00,0.00,0.00,0.00,,,,河北省,石家庄,H5,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,顺丰速运,YT48833317769,运输中,
2705000518,已发货,2026-04-05 04:17:28,2026-04-05 21:19:48,2026-04-09,2026-04-05 13:23:19,2026-04-07,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,2,69.00,138.00,119.48,118.76,0.00,4.65,4.07,2.90,6.90,0.72,0.00,0.00,0.00,0.00,,,,福建省,厦门,H5,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,邮政快递,YT89421073142,运输中,
2705000508,已签收,2026-04-05 09:37:19,2026-04-06 10:28:24,2026-04-13,2026-04-05 09:12:24,2026-04-07,夏季冰丝凉席三件套,PD00001,SP00001,SKU003,1.5m床-蓝色,SKU003,1.5m床-蓝色,ST003,家居生活,床上用品,凉席,冰丝凉席,1,89.00,89.00,67.27,66.87,0.00,6.91,6.05,4.32,4.45,0.40,0.00,0.00,0.00,0.00,,,,广东省,广州,网页,是,否,否,,支付宝,否,,,否,否,否,否,否,否,邮政快递,YT87378306003,运输中,
2705000338,已签收,2026-04-05 15:42:33,2026-04-06 06:48:06,2026-04-10,2026-04-05 02:09:04,2026-04-07,男士运动休闲鞋透气款,PD00005,SP00005,SKU010,39码-黑色,SKU010,39码-黑色,ST010,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,112.68,112.00,0.00,2.53,2.21,1.58,0.00,0.68,0.00,0.00,0.00,0.00,,,,广西,南宁,网页,否,否,否,,支付宝,否,12,,否,否,否,否,否,否,圆通速递,YT42896059479,运输中,
2705000188,已付款,2026-04-05 21:50:29,2026-04-05 22:08:48,2026-04-06,2026-04-05 13:44:13,2026-04-07,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,1,109.00,109.00,88.33,87.80,0.00,8.27,7.23,5.17,0.00,0.53,0.00,0.00,0.00,31.36,七天无理由退货,退货退款,退货退款,湖北省,武汉,小程序,否,否,否,,支付宝,否,,商家,否,否,否,否,否,否,极兔速递,YT74673145786,运输中,
2705000394,待发货,2026-04-06 00:53:30,2026-04-07 00:27:05,2026-04-13,2026-04-06 21:52:01,2026-04-08,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,5,109.00,545.00,411.54,409.07,0.00,53.38,46.71,33.37,0.00,2.47,0.00,0.00,0.00,0.00,,,,上海市,上海,网页,否,否,否,,多多支付,否,,,否,否,否,否,否,否,邮政快递,YT53196067705,运输中,
2705000107,待发货,2026-04-06 05:56:13,2026-04-08 06:46:27,2026-04-13,2026-04-06 19:16:38,2026-04-08,桌面手机支架可折叠,PD00008,SP00008,SKU017,基础款-黑色,SKU017,基础款-黑色,ST017,数码电器,手机配件,支架,桌面支架,1,19.90,19.90,15.08,14.93,0.00,1.53,1.34,0.96,0.99,0.15,0.00,0.00,0.00,0.00,,,,湖南省,长沙,APP-iOS,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,邮政快递,YT56968600033,运输中,
2705000499,待发货,2026-04-06 07:19:10,2026-04-06 16:56:29,2026-04-07,2026-04-06 03:38:39,2026-04-08,男士运动休闲鞋透气款,PD00005,SP00005,SKU010,39码-黑色,SKU010,39码-黑色,ST010,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,115.13,114.44,0.00,1.55,1.35,0.97,0.00,0.69,0.00,0.00,0.00,0.00,,,,上海市,上海,H5,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,顺丰速运,YT88161001177,已签收,
